                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9743,                 3.0037,                 2.1866,                  1.294,                0.88711,                0.37044,                0.63702,                0.31409,                0.87472,                0.36527,                0.60705,                0.24336,                   1.81,                 3.1198,                 2.0816,                 1.1939,             0.00064706,             0.00064706,             0.00064706
                      2,                 1.7752,                 2.6269,                 1.2351,                 1.1771,                 0.6981,                 0.6213,                0.66436,                0.32614,                0.69331,                0.60391,                0.63774,                0.26863,                 1.7687,                 2.7326,                 1.4138,                 1.1816,              0.0011837,              0.0011837,              0.0011837
                      3,                 1.7262,                 2.5523,                 1.1405,                 1.1622,                0.73205,                0.64516,                0.69535,                0.32745,                0.72279,                0.62231,                0.66404,                0.27459,                 1.8168,                 2.6947,                 1.3404,                 1.1882,              0.0015883,              0.0015883,              0.0015883
                      4,                 1.7039,                  2.508,                 1.1181,                 1.1584,                 0.7768,                0.66456,                0.73949,                 0.3828,                0.77563,                 0.6558,                0.72077,                0.33906,                 1.6567,                  2.524,                 1.3054,                  1.135,               0.001406,               0.001406,               0.001406
                      5,                 1.6883,                 2.4928,                 1.0951,                 1.1434,                0.77571,                0.67994,                0.74881,                0.38688,                0.77798,                0.66168,                 0.7335,                0.31781,                 1.6413,                 2.5732,                 1.1423,                 1.1178,               0.001208,               0.001208,               0.001208
                      6,                 1.6482,                 2.4186,                 1.0426,                 1.1311,                0.79854,                0.71069,                0.78658,                0.40614,                0.79231,                0.69057,                0.76315,                0.34698,                   1.69,                 2.4424,                 1.0458,                 1.1302,                0.00101,                0.00101,                0.00101
                      7,                 1.6206,                 2.3714,                 1.0054,                 1.1175,                0.79122,                0.69826,                0.77811,                 0.4186,                0.78668,                0.67936,                0.75559,                0.35595,                 1.5981,                 2.4517,                 1.0149,                 1.1121,               0.000812,               0.000812,               0.000812
                      8,                 1.6026,                 2.3615,                0.99579,                 1.1161,                0.80305,                0.70672,                0.79007,                0.43738,                0.79205,                0.68865,                0.76418,                0.36984,                 1.5588,                 2.3887,                0.99204,                 1.1038,               0.000614,               0.000614,               0.000614
                      9,                 1.5772,                 2.3266,                0.97945,                 1.1155,                0.81605,                0.71486,                0.80616,                0.44759,                0.81193,                0.69181,                  0.782,                0.37978,                 1.5394,                 2.3413,                0.95714,                 1.0979,               0.000416,               0.000416,               0.000416
                     10,                 1.5704,                 2.3112,                0.97331,                  1.097,                 0.8187,                0.74001,                0.82235,                 0.4493,                0.80816,                 0.7132,                0.79257,                0.37127,                 1.5571,                 2.3349,                0.92324,                  1.092,               0.000218,               0.000218,               0.000218
